0000_00.00.07.640-00.00.09.050	In 1989, 
0004_00.03.36.065-00.03.40.845	who shows them footage that reveals that Bucky Barnes killed Tony Stark's parents in 1991.
0004_00.03.40.852-00.03.44.762	Enraged that Rogers kept this from him, Stark turns on them both,
0004_00.03.44.762-00.03.46.760	dismembering Barnes' robotic arm.
0004_00.03.46.760-00.03.49.830	Steve Rogers disables Tony Stark's armor
0004_00.03.49.830-00.03.51.560	and departs with Bucky Barnes,
0004_00.03.51.560-00.03.52.880	leaving his shield behind.
0004_00.03.52.880-00.03.59.990	Satisfied that he has avenged his family's deaths in Sokovia from the Avengers' actions by irreparably fracturing them,
0004_00.03.59.990-00.04.02.860	Zemo attempts suicide, but is stopped by T'Challa
0004_00.04.02.860-00.04.04.420	and taken to the authorities.
0004_00.04.04.420-00.04.10.530	In the aftermath, Tony Stark provides Rhodes with exoskeletal leg braces that allow him to walk again,
0004_00.04.10.530-00.04.13.580	while Rogers breaks his allies out of the Raft.
0004_00.04.13.585-00.04.18.095	In a mid-credits scene, Bucky Barnes, granted asylum in Wakanda, 
0004_00.04.18.095-00.04.22.550	chooses to return to cryogenic sleep until a cure for his brainwashing is found.
0004_00.04.22.550-00.04.25.890	In a post-credits scene, Peter Parker tests a new gadget.
0005_00.00.00.990-00.00.05.650	In the present day, scientists in the Arctic uncover
0005_00.00.05.650-00.00.07.500	a frozen circular object with a red, white, and blue motif
0005_00.00.07.500-00.00.09.380	in the cockpit of a derelict aircraft.
0005_00.00.09.390-00.00.11.590	In March 1942,
0005_00.00.11.590-00.00.15.390	Nazi officer Johann Schmidt
0005_00.00.15.390-00.00.17.480	and his men enter the town of Tønsberg in German-occupied Norway
0005_00.00.17.490-00.00.20.530	to steal a mysterious relic called the Tesseract, which possesses untold powers.
0005_00.00.20.530-00.00.22.160	Meanwhile, in New York City
0005_00.00.22.160-00.00.23.960	Steve Rogers
0005_00.00.23.960-00.00.28.160	is rejected for World War II military recruitment because of various health and physical problems.
0005_00.00.28.160-00.00.30.700	While attending an exposition of future technologies
0005_00.00.30.700-00.00.32.930	with his friend, Sergeant James Bucky Barnes,
0005_00.00.32.930-00.00.35.590	Rogers again attempts to enlist.
0005_00.00.35.590-00.00.38.250	Overhearing Rogers's conversation with Barnes about wanting to help in the war,
0005_00.00.38.260-00.00.39.920	Dr. Abraham Erskine
0005_00.00.39.920-00.00.41.090	allows Rogers to enlist.
0005_00.00.41.090-00.00.43.890	He is recruited to the Strategic Scientific Reserve as part of a super-soldier experiment
0005_00.00.43.900-00.00.45.590	under Erskine,
0005_00.00.45.590-00.00.48.050	Colonel Chester Philips,
0005_00.00.48.050-00.00.50.300	and British agent Peggy Carter.
0005_00.00.50.300-00.00.55.180	Phillips is unconvinced by Erskine's claims that Rogers is the right person for the procedure,
0005_00.00.55.180-00.00.59.050	but relents after seeing Rogers commit an act of self-sacrificing bravery.
0005_00.00.59.050-00.01.05.710	The night before the treatment, Erskine reveals to Rogers
0005_00.01.05.710-00.01.05.920	UNMATCHED: that Schmidt underwent an imperfect version of the procedure
0005_00.01.05.920-00.01.06.150	UNMATCHED: and suffered permanent side effects.
0005_00.01.06.150-00.01.07.230	Back in Europe, Schmidt
0005_00.01.07.230-00.01.09.220	and Dr. Arnim Zola
0005_00.01.09.220-00.01.12.820	harness the energies of the Tesseract,
0005_00.01.12.820-00.01.17.750	intending to use the power to fuel Zola's inventions, mounting an offensive that will change the world.  
0005_00.01.17.750-00.01.18.990	Schmidt discovers Erskine's location and dispatches an assassin to kill him.
0005_00.01.18.990-00.01.21.550	In the US, Erskine subjects Rogers to the super-soldier treatment,
0005_00.01.21.550-00.01.21.700	UNMATCHED: injecting him with a special serum
0005_00.01.21.700-00.01.25.330	and dosing him with Vita Rays.
0005_00.01.37.240-00.01.41.180	After Rogers emerges from the experiment taller and more muscular,
0005_00.01.41.180-00.01.46.210	one of the attendees kills Erskine,
0005_00.01.46.210-00.01.46.380	UNMATCHED: revealing himself to be Schmidt's assassin, Hans Kruger.
0005_00.01.46.380-00.01.48.250	Rogers pursues 
0005_00.01.48.250-00.01.48.400	UNMATCHED: and captures Kruger,
0005_00.01.48.400-00.01.52.450	but the assassin avoids interrogation by committing suicide by cyanide capsule.
0005_00.01.52.450-00.01.58.020	With Erskine dead and his super-soldier formula lost, U.S. Senator Brandt has Rogers 
0005_00.01.58.020-00.02.04.190	tour the nation in a colorful costume as Captain America to promote war bonds rather than allow scientists to study him and attempt to rediscover the formula.
0005_00.02.04.190-00.02.08.090	In 1943, while on tour in Italy performing for active servicemen,
0005_00.02.08.090-00.02.15.480	Rogers learns that Barnes's unit was M.I.A. in a battle against Schmidt's forces.
0005_00.02.15.480-00.02.16.550	Refusing to believe that Barnes is dead, Rogers has Carter
0005_00.02.16.550-00.02.18.290	and engineer Howard Stark
0005_00.02.18.290-00.02.19.360	fly him behind enemy lines
0005_00.02.19.360-00.02.20.760	to mount a solo rescue attempt.
0005_00.02.20.760-00.02.23.980	Rogers infiltrates the fortress of Schmidt's HYDRA organization.
0005_00.02.23.980-00.02.24.880	Freeing Barnes
0005_00.02.24.880-00.02.25.770	and the other prisoners,
0005_00.02.25.770-00.02.27.580	Rogers confronts Schmidt,
0005_00.02.27.580-00.02.31.820	who removes his mask, revealing a red, skull-like visage that earned him the name, the Red Skull.
0005_00.02.31.820-00.02.33.460	Schmidt escapes
0005_00.02.33.460-00.02.35.320	and Rogers returns to base with the freed soldiers.
0005_00.02.35.320-00.02.42.580	Rogers recruits Barnes, Dum Dum Dugan, Gabe Jones, Jim Morita, James Montgomery Falsworth, and Jacques Dernier
0005_00.02.42.580-00.02.46.790	to attack other known HYDRA bases.
0005_00.02.46.790-00.02.49.540	Stark outfits Rogers with advanced equipment,
0005_00.02.49.540-00.02.51.570	most notably a circular shield made of vibranium, a rare, nearly indestructible metal.
0005_00.02.51.570-00.02.54.900	Rogers and his team sabotage various HYDRA operations.
0005_00.02.54.900-00.02.57.090	The team later assaults a train carrying Zola.
0005_00.02.57.090-00.02.58.920	Rogers and Jones succeed in capturing Zola,
0005_00.02.58.920-00.03.01.130	but Barnes falls from the Train to his assumed death.
0005_00.03.01.130-00.03.03.120	Using information extracted from Zola,
0005_00.03.03.120-00.03.04.860	the final HYDRA stronghold is located
0005_00.03.04.860-00.03.11.800	and Rogers leads an attack
0005_00.03.11.800-00.03.12.030	UNMATCHED: using weapons of mass destruction on American cities and soon other major cities across the globe.
0005_00.03.12.030-00.03.14.480	Rogers climbs aboard Schmidt's aircraft
0005_00.03.14.480-00.03.15.160	as it takes off.
0005_00.03.15.170-00.03.17.060	During the subsequent fight,
0005_00.03.17.060-00.03.17.760	the Tesseract's container is damaged.
0005_00.03.17.760-00.03.19.780	Schmidt physically handles the Tesseract,
0005_00.03.19.780-00.03.21.790	causing him to dissolve in a bright light.
0005_00.03.21.790-00.03.22.130	The Tesseract falls to the floor,
0005_00.03.22.140-00.03.24.430	burning through the plane and falling to Earth.
0005_00.03.24.430-00.03.24.610	UNMATCHED: Seeing no way to land the plane without the risk of detonating its weapons,
0005_00.03.24.610-00.03.27.680	Rogers crashes it
0005_00.03.27.680-00.03.29.840	in the Arctic.
0005_00.03.29.840-00.03.34.280	Stark later recovers the Tesseract from the ocean floor,
0005_00.03.34.280-00.03.34.640	UNMATCHED: but is unable to locate Rogers or the aircraft, presuming him dead.
0005_00.03.34.640-00.03.36.420	Rogers awakens
0005_00.03.36.420-00.03.37.680	in a 1940s-style hospital room.
0005_00.03.37.680-00.03.40.320	A baseball game on the radio plays,
0005_00.03.40.320-00.03.40.530	UNMATCHED: but he recognizes that he's heard it before.
0005_00.03.40.530-00.03.44.640	He realizes from this that something must be wrong,
0005_00.03.44.640-00.03.46.180	and he flees outside
0005_00.03.46.180-00.03.48.150	to find himself in present-day Times Square,
0005_00.03.48.150-00.03.52.150	where S.H.I.E.L.D. Director Nick Fury informs him he has been asleep for nearly 70 years.
0005_00.03.52.150-00.03.53.460	In a post-credits scene,
0005_00.03.53.460-00.03.57.360	Fury approaches Rogers. proposing a mission with worldwide ramifications.
0006_00.00.00.000-00.00.05.380	Two years after the Battle of New York, Steve Rogers works in Washington DC 
0006_00.00.05.380-00.00.06.410	for the espionage agency, Shield,
0006_00.00.06.410-00.00.09.370	under director Nick Fury, while adjusting to comtemporary society.
0006_00.00.09.375-00.00.11.795	Rogers and Agent Natasha Romanoff
0006_00.00.11.795-00.00.15.635	are sent with Shield's counterterrorism strike team, led by Agent Rumlow,
0006_00.00.15.635-00.00.17.975	to free hostages aboard a Shield vessel
0006_00.00.17.975-00.00.26.400	from Georges Batroc and his mercenaries. 
0006_00.00.26.400-00.00.32.730	Mid-mission, Rogers discovers Romanoff has another agenda, to extract data from the ship's computers for Fury.
0006_00.00.32.730-00.00.35.950	Rogers returns to The Triskelion, Shield's headquarters,
0006_00.00.35.950-00.00.38.490	to confront Fury and is briefed about Project Insight;
0006_00.00.38.490-00.00.44.325	three helicarriers linked to spy satellites designed to preemptively eliminate threats.
0006_00.00.44.325-00.00.46.545	Unable to decrypt the data recoverd by Romanoff, 
0006_00.00.46.545-00.00.49.505	Fury becomes suspicious about Insight 
0006_00.00.49.505-00.00.52.340	and asks Senior Shield Official, Alexander Pierce to delay the project.
0006_00.00.52.340-00.00.55.050	On his way to rendezvous with Maria Hill, 
0006_00.00.55.050-00.00.57.010	Fury is ambushed by assailants
0006_00.00.57.010-00.00.59.240	 led by a mysterious assissin, called the Winter Soldier.
0006_00.00.59.245-00.01.01.895	Fury escapes to Rogers' apartment
0006_00.01.01.895-00.01.03.355	and warns Rogers that Shield is compromised.
0006_00.01.03.355-00.01.05.645	After handing Rogers a flash drive containing data from the ship,
0006_00.01.05.645-00.01.08.552	Fury is gunned down by the Winter Soldier.
0006_00.01.08.552-00.01.10.302	Fury dies in surgery 
0006_00.01.10.302-00.01.11.020	UNMATCHED: and Hill recovers the body.
0006_00.01.11.020-00.01.14.810	The next day, Pierce summons Rogers to the Triskelion.
0006_00.01.14.815-00.01.17.435	When Rogers withholds Fury's information,
0006_00.01.17.435-00.01.30.000	Pierce brands him a fugitive.
0006_00.01.30.000-00.01.31.660	Hunted by Strike, Rogers meets with Romanoff.
0006_00.01.31.665-00.01.35.675	Using data in the flash drive, they discover a secret Shield bunker in New Jersey, 
0006_00.01.35.675-00.01.40.010	where they activate a supercomputer containing the preserved consciousness of Arnim Zola.
0006_00.01.40.010-00.01.50.480	Zola reveals that ever since Shield was formed after World War 2, Hydra has secretly operated within its ranks, sowing global chaos with the objective of making humanity willing to surrender its freedom in exchange for security.
0006_00.01.50.480-00.01.53.070	The pair narrowly escape death
0006_00.01.53.070-00.01.54.980	when a Shield missile destroys the bunker 
0006_00.01.54.980-00.01.57.020	and realize that Pierce is Hydra's leader within Shield.
0006_00.01.57.020-00.02.02.160	Rogers and Romanoff enlist the help of former USAF pararescueman, Sam Wilson, 
0006_00.02.02.160-00.02.05.575	whom Rogers befriended and acquired his powered Falcon wing pack.
0006_00.02.05.575-00.02.10.535	Deducing that Shield agent, Jasper Sitwell, is a Hydra mole,
0006_00.02.10.535-00.02.15.250	 they force him to divulge that Zola developed a data mining algorithm that can identify individuals who might become future threats to Hydra's plans.
0006_00.02.15.250-00.02.21.230	The Insight helicarriers will sweep the globe using satellite guided guns to eliminate these individuals.
0006_00.02.21.230-00.02.25.630	Rogers, Romanoff and Wilson are ambushed by the Winter Soldier, who kills Sitwell.
0006_00.02.25.630-00.02.32.800	During the fight, Rogers recognizes the Winter Soldier as Bucky Barnes, his friend who was captured and experimented upon during World War 2.
0006_00.02.32.805-00.02.35.315	Hill manages to extract the trio to a safe house
0006_00.02.35.315-00.02.40.995	where Fury, who had faked his death, is waiting with plans to sabotage the helicarriers by replacing their controller chips.
0006_00.02.41.000-00.02.43.740	After the World Security Council members arrive
0006_00.02.43.740-00.02.45.910	for the helicarrier's launch,
0006_00.02.45.910-00.02.49.050	Rogers broadcasts Hydra's plot to everyone at the Triskelion.
0006_00.02.49.050-00.02.51.620	Romanoff, disguised as one of the council members,
0006_00.02.51.620-00.03.09.770	disarms Pierce.
0006_00.03.09.770-00.03.17.570	Fury arrives and forces Pierce to unlock Shield's database, so that Romanoff can leak classified information, exposing Hydra to the public.
0006_00.03.17.570-00.03.20.780	Following a struggle, Fury kills Pierce.
0006_00.03.20.785-00.03.24.405	Meanwhile, Rogers and Wilson storm two helicarriers and replace the controller chips
0006_00.03.24.405-00.03.27.105	but the Winter Soldier destroys Wilson's suit
0006_00.03.27.105-00.03.27.950	UNMATCHED: and fights Rogers on the third.
0006_00.03.27.950-00.03.34.380	Rogers fends him off and replaces the final chip, allowing Hill to take control and have the vessels destroy each other.
0006_00.03.34.380-00.03.56.470	Rogers refuses to fight the Winter Soldier in an attempt to reach his friend,
0006_00.03.56.470-00.04.01.390	but as the ship collides with the Triskelion, Rogers is thrown out into the Potomac River.
0006_00.04.01.390-00.04.05.450	The Winter Soldier rescues the unconscious Rogers before disappearing into the woods.
0006_00.04.05.455-00.04.09.115	With Shield in disarray, Romanoff appears before a Senate subcommittee
0006_00.04.09.115-00.04.13.735	and Fury, under the cover of his apparent death,
0006_00.04.13.735-00.04.14.740	UNMATCHED:  heads to Eastern Europe in pursuit of Hydra's remaining cells.
0006_00.04.14.740-00.04.17.540	Rogers and Wilson decide to find the Winter Soldier, 
0006_00.04.17.540-00.04.22.420	while Rumlow, who was a double agent for Hydra, is hospitalized following the Triskelion's destruction.
0006_00.04.22.420-00.04.31.390	In a mid-credit scene, Baron Wolfgang von Strucker at a Hydra lab, proclaims that the age of miracles has begun, as scientists examine an energy-filled sector
0006_00.04.31.390-00.04.37.020	and two prisoners, one with superhuman speed, the other with telekinetic powers.
0006_00.04.37.020-00.04.42.051	In a post-credit scene, the Winter Soldier visits a Bucky Memorial at the Smithsonian Institution.
0007_00.00.13.230-00.00.15.500	In Kathmandu, Nepal,
0007_00.00.15.500-00.00.18.090	the sorcerer Kaecilius and his zealots
0007_00.00.18.090-00.00.20.050	enter the secret compound Kamar-Taj
